text,source
"Nordea on selvittänyt kyselytutkimuksella suomalaisten kesälomalla käytettäväksi suunniteltuja euroja.
Toukokuun lopussa tehty kyselytutkimus paljasti, että keskimääräinen lomabudjetti on noussut selvästi viime vuodesta vastaavassa kyselyssä.
Kyselyn mukaan suomalaiset käyttävät kesälomaansa tänä vuonna keskimäärin 1 178 euroa kotitaloutta kohden, mikä on lähes 15 prosenttia enemmän kuin viime vuonna.
Yli puolet suomalaisista suunnittelee matkustavansa vain kotimaassa ja yhä suurempi osa kertoo välttelevänsä tiettyjä alueita ulkomailla turvallisuusuhkien vuoksi.
Enemmistölläsuomalaisista kotitalouksista kesälomaan käytetään enintään 1 000 euroa. Enintään 1 000 euron budjettiluokkaan kuuluu kyselyn mukaan 60 prosenttia kotitalouksista.
Kotitalouksien taloustilanne on jatkanut paranemistaan.
Lapsiperheet ja pääkaupunkiseudulla asuvat suunnittelevat keskimääräistä kalliimpia lomia. Lapsiperheistä yli viidennes arvioi käyttävänsä yli 2 000 euroa kesälomaan.
– Kotitalouksien taloustilanne on jatkanut paranemistaan, kun epävarmuus pienenee inflaation hidastumisen ja korkotason laskun myötä. Uskon, että ostovoiman piristyminen tulee näkymään jatkossa entistä selvemmin lomasuunnitelmissa, samaan aikaan kun saamme koko maan taloudesta piristymisen merkkejä, arvioi tutkimuksen tuloksia Nordean Suomen henkilöasiakkaista vastaava johtajaJani Elorantatiedotteessa.
Ulkomaille suuntaavatpainottavat kyselyn perusteella valinnoissaan turvallisuutta ja vastuullisuutta. Tänä vuonna 45 prosenttia kertoo välttelevänsä tiettyjä alueita, kun vastaava osuus viime vuonna oli 38 prosenttia.
Vastuullinen matkailu näkyy erityisesti ihmisoikeuksiin liittyvinä kohdevalintoina, ylikuormittuneiden alueiden välttelynä ja kestävänä liikkumisena.
Suomalaisista 76 prosenttiakokee, ettei kustannustason nousu ole vaikuttanut merkittävästi lomarahoitukseen.
Enemmän kuin puolet (55 prosenttia) kuitenkin tunnistaa jonkinlaisen vaikutuksen mutta trendi on ollut laskusuuntainen nyt kolme peräkkäistä vuotta.
Suomalaiset rahoittavat lomansa pääosin palkkatuloilla ja säästöillä. Luottokortin käyttö on hienoisessa kasvussa, mutta kulutusluottojen käyttö on edelleen vähäistä.
Säästöjen rooli on ollut lievässä, mutta trendinomaisessa laskussa huippuvuodesta 2022.
Kyselytutkimuksen Nordealle toteutti Kantar Finland internetpaneelissa 19.-26. toukokuuta ja siihen vastasi 1 005 18–79-vuotiasta suomalaista. 95 %:n virhemarginaali 1 000 hengen kyselyssä on vastauksesta riippuen ±1,4-3,1 prosenttiyksikköä.
",news
"Yhä useampi arkinen laite toimii ladattavalla akulla, mutta harva tulee automaattisesti miettineeksi arjessa niiden aiheuttamia paloturvallisuusriskejä.
Vakuutusyhtiö LähiTapiola muistuttaa, että sen omien vahinkotilastojen mukaan myös itäisessä Suomessa tapahtuu vuosittain useita akkupaloja ja läheltä piti -tilanteita.
Kodin ladattavien laitteiden määrä on kasvanut nopeasti. Puhelinten, tietokoneiden ja sähköpyörien lisäksi latausta vaativia akkuja löytyy nykyisin yhä useammista kodin laitteista ja tarvikkeista. Samalla myös akkupaloihin liittyvät vahingot ovat lisääntyneet.
– Olemme korvanneet vahinkoja muun muassa koiran tutkapannan, lihashuoltovasaran ja kaikuluotaimen akkujen sytyttämistä tulipaloista, kertoo korvausjohtajaMarjaana NiskanenLähiTapiola Idän tiedotteessa.
Akkuja ladatessa on otettava huomioon, että litiumioniakun palo on lähes mahdotonta sammuttaa.
Ladattavien laitteidenaiheuttamiin riskeihin ei vakuutusyhtiön mukaan aina suhtauduta riittävän vakavasti. Akkupalojen taustalla voi olla esimerkiksi valmistusvirhe, akkuun kohdistunut isku, kastuminen tai viallinen laturi.
Osa vahingoista liittyy epäselviin ohjeisiin tai siihen, että vikaantuneen laitteen käyttöä on jatkettu, vaikka sen vaarallisuus olisi jo havaittu.
Yöllä lataaminen on erityisen riskialtista, koska palon syttyessä reagoimisaikaa on vähän. Akkuja ladatessa on otettava huomioon, että litiumioniakun palo on lähes mahdotonta sammuttaa.
– Pieni akku palaa nopeasti kokonaan, ja mikäli siitä ei lennä palavia heitteitä ja laite on palamattomalla alustalla, tilanteesta voi selvitä pelkällä säikähdyksellä. Suuremmissa akuissa, kuten sähköpyörissä, palot voivat kestää pitkään ja niistä sinkoilee palavia kappaleita. Tällaisia laitteita ei pidä ladata esimerkiksi eteisessä tai muulla poistumisreitillä, Niskanen varoittaa.
Useissa tapauksissaakku on syttynyt palamaan myös ilman latausta esimerkiksi sisäisen vian, turpoamisen tai ylikuumenemisen vuoksi.
Turvonnut tai epänormaalisti kuumeneva akku on aina hälytysmerkki, ja sellainen laite pitää viedä välittömästi pois sisätiloista ja kierrättää asianmukaisesti.
– Nykyisin laitteita tilataan paljon verkosta, ja niiden turvallisuudesta ei ole mitään tietoa, Niskanen kertoo.
Niskanen arvioikin, että tuntemattomilla brändeillä voi halvan hinnan taustalla olla paloturvallisuusriskin aiheuttavaa huonoa laatua.
",news
"Uusi Pilettipuoti Eliel avautuu vanhalle kaupungintalolle elokuussa. Samalla teatterin, kaupunginorkesterin ja museopalveluiden lipunmyynti siirtyy pois Carelicumista.
Vanhalla kaupungintalolla 5. elokuuta avautuva Pilettipuoti toimii jatkossa Joensuun kaupunginteatterin, Joensuun kaupunginorkesterin ja Museo Elielin yhteisenä lipunmyyntipisteenä ja näiden lippujen myyminen päättyy Carelicumissa.
Kesäaikana Carelicumin lipunmyynti on suljettuna 7.–27. heinäkuuta, jolloin teatterin ja orkesterin lippuja voi ostaa vain Lippu.fi-verkkokaupasta ja myyntipisteistä.
Uuden Pilettipuoti Elielinluvataan kokoavan yhteen kolmen kulttuuritoimijan lipunmyynnin lisäksi uusia mielenkiintoisia menovinkkejä. Jatkossa asiakkaan on vaivatonta hankkia liput yhdestä pisteestä useisiin eri kulttuuritapahtumiin.
Lipunmyynnin ohessa yhteistoiminnalla mahdollistetaan museo- ja teatterikauppa.
– Uusi yhteiskonsepti mahdollistaa kulttuurilliset teematapahtumat, pienimuotoiset festivaalit sekä yhteiskampanjat. Tavoitteenamme on nostaa yhdessä tekemisen toimintatavan kautta asiakaslähtöisempää sekä samalla saavutettavaa että osallistavaa kokonaisuutta, Joensuun kaupungin kulttuurijohtajaKatriina Leppänentoteaa tiedotteessa.
Esimerkkinä kerrotaan, että tuotevalikoimassa tulee olemaan tuotteita, jolla on yhteys niin museon näyttelyiden sisältöihin kuin teatterin ja kaupunginorkesterin ohjelmistoonkin.
Lipunmyynnin ohessa yhteistoiminnalla mahdollistetaan museo- ja teatterikauppa.
Lipunmyynnin hallinnosta vastaa Joensuun kaupunginteatteri.
Puoti palvelee elokuussaalkavin aukioloajoin viikoittain tiistaista perjantaihin. Syyskauden edetessä aukioloajat laajenevat myös viikonloppuihin.
Elokuussa puoti on auki tiistaisin, torstaisin ja perjantaisin kello 12–16 ja keskiviikkoisin kello 14–18.
Teatterin esityspäivinä Pilettipuoti Eliel palvelee lisäksi tunnin ajan ennen näytäntöjen alkua. Lisäksi totuttuun tapaan Joensuun kaupunginorkesterin lippuja myydään konserttipaikalla tunnin ajan ennen konsertin alkamista.
",news
"Produktio: Maarianvaaran Teatteri Kesäyön unelmat. Ensi-ilta Maarianvaaran kylätalolla 1.7.2025.
Työryhmä: Ohjaus ja käsikirjoitus Juhani Joensuu, rooleissa Emma Kakkonen, Anneli Mahlamäki, Sakari Saikkonen, Tero Sarkkinen, Janne Vänskä, musiikki Janne Vänskä.
William ShakespearenKesäyön unelmaon jo lähtöjään monitasoinen näytelmä. Ensinnäkin siinä on viitteitä 1500-luvun pakanallisiin karnevaaliperinteisiin – kesäisiin juhliin, joissa esitetyissä näytelmissä yleisön ja näyttelijöiden osat usein vaihtuivat – ja toiseksi se itsessään on näytelmä, jossa harjoitellaan ja esitetään näytelmä tarujen Ateenan ylimystön juhlissa.
KäsikirjoittajaJuhani Joensuuon pitänyt kaikkea tätä yleisön käsityskyvyn aliarvioimisena, ja lisännyt tarinaan kerroksen; olemmekin suomalaisessa kylässä, jonka innokas kesäteatteriporukka keksii ottaa Shakespearen klassikon työn alle.
Kesäyön unelmat on yksinkertaisesti nerokas tulkinta Shakespearesta.
Sitten on toimittaja, joka löytää itsensä Maarianvaarasta seuraamassa näytelmää, jossa tehdään näytelmää, jossa tehdään näytelmää… Toimittaja on tietysti seurannut etukäteen tuotannon näytelmän valmistumista koskevaa somettelua. Postmodernismia ad infinitum with a sideorder of salad, thank you!
Mitä ihmiset kesäyössäsitten puuhaavat? Rakastuvat, pääasiassa. Neljä ateenalaisnuorukaista tykkäävät toisistaan ensin ristiin, eksyvät metsään kunnes keijutonttu Puck kääntää lemmennuolten suunnat ripottelemalla ruusunmettä uneksivien nuorukaisten silmiin.
Love looks not with the eye but with the mind. Therefore’s wing’d Cupid painted blind. Ympärillä häärivät keijut kuninkaineen ja kuningattarineen, sekä se työläisporukka, jonka on määrä esittää edellä mainittu näytelmä (jokin niistä) Ateenan herttua Theseuksen ja tämän puolison Hippolytan hääjuhlissa.
Esitelkäämmedramatis personae käänteisessä järjestyksessä: raikas tuulahdus TampereeltaEmma Kakkonennähdään muun muassa kylätoimikunnan puheenjohtaja Sininä sekä ateenalaisprinsessa Hermiana. Savonlinnasta lainattuAnneli Mahlamäkion puuhanainen Katri, keijujen kuningatar Titania, ja rastafarileijona.
Kotikenttäetua hyödyntäväJanne Vänskähoitaa ennen kaikkea näytelmän monipuolisen ja polveilevan musiikin, josta osa on räväköitä välinumeroita, osa viehkeitä tarinaan upotettuja sävelmiä. Nähdään myös prinssi Demetriuksena sekä muurina, että sen reikänä.
TekijäpiruTero Sarkkinenpyörittää niin kylää duunari-Hemmona, kuin taikametsää Puckin roolissa. Tanssitaiteesta teatterin leveämpää leipää etsimään lähtenytSakari Saikkonenon ”pääparin” puolisko Lysander, keijukuninkas Oberon sekä sisätarinan sisäistarinan… no, traagisen kaunis neito Thisbe.
Maarianvaaran teatterinKesäyön unelmaton yksinkertaisesti nerokas tulkinta Shakespearesta viemällä näytelmä sen alkulähteille: kansan pariin, luonnon keskelle.
Menittekö sekaisin juonikuvioista? No, niin on osin tarkoituksin mutta omanlaistaan huumoria saadaan aikaan myös siitä, kun kyläläiset sitten kesken harjoitusten ennakoiden selittävät, että mitäs tässä seuraavassa kohtauksessa tuleekaan tapahtumaan. Koko maailma on näyttämö.
Näytelmä kiertää kesällä ympäri maakuntaa lipsuen välillä sen rajojen ulkopuolellekin. Joensuussa esitys on 7. heinäkuuta Utran työväentalolla. Menette.
",news
"Produktio: Teatteri Traktorin Viiru ja Pesonen seikkailee taas! Ensi-ilta Sinkkolassa 29.6.2025.
Työryhmä: Ohjaus ja dramatisointi Tomi Kervinen, alkuperäisteokset Sven Nordqvist, rooleissa Anni Porspakka, Ville Rita, Sanni Omenasaari ym.
Pahin myräkkä kiersi Noljakanmäen kaukaa pientä sadekuuroa lukuun ottamatta. Sinkkolan kesänäyttämön tämänvuotinen esityskausi alkoi perinteisissä kesäteatteriolosuhteissa.
Lavalle on rakennettuSven NordqvistinViiru ja Pesonen-kirjoista tuttu maalaismaisema. Ukon ja kissan seikkailuja on nähty Sinkkolassa ennenkin, ja Joensuussa kaupunginteatterissa viime vuosina etenkin joulun tienoilla.
80-Luvun puolella juuri ja juuri syntyneenä nämä tarinat eivät ole kuuluneet omaan lapsuuteeni; suomalaislukijat löysivät kirjat vasta 2000-luvun alussa ensimmäisten käännösten myötä.
Tilpehöörin sijaan tila täytetään liikkeellä ja ryminällä.
Viiru ja Pesonen seikkailee (sic!) taas koostuu useammista kirjoista yhdistetyistä tarinanpätkistä. Mukana ovat muun muassa kissanpennun tulo taloon, naapurista karanneen karjan kokoaminen, ja painajaismainen haukiretki.
Alun takaumaa ottamatta lukuun kohtaukset ovat kursittu parin päivän kesäiseksi tunnelmoinniksi. Huomio on rennossa kiireettömyydessä ja puuhastelussa. Sovitus on kirjojen eetokselle uskollinen.
Anni Porspakkaloistaa eloisana Viiruna. Hänen tulkinnastaan löytyy vastaavuuksia aiempiin teatterisovituksiin, tai vaikkapa piirrettyihin, kuitenkin jotain uutta ja omaperäistä hahmoon tuoden.Ville Ritalaiskana ukko-Pesosena saa paljon äyskiä partaansa pysyäkseen kissan toilailuissa mukana.
Tarinan kohtalottaret, eli maatilan kanat (Sanni Omenasaari/Kaisa Kervinen,Heidi Anttila,Johanna Leppänen,Lyyti Linjama) hoitavat myös taustakuoron ja tanssiryhmän tontit.
Rauha-kanaemo on ”ruutuaikansa” puolesta lähestulkoon kolmannessa pääroolissa. Ovea kolkuttamassa käyvät myös naapuri Kosonen (Kasper Omenasaari) ja Anttoska-rouva (Sanni Omenasaari/Kaisa Kervinen).
Näytelmän visuaalinen ilmeon sekin tunnistettava.Ella Törmikoskeneläinpuvustukset ovat erityisen hienot!
Suurta näyttämötilaa ei ole aivan saatu yhtä täyteen pientä yksityiskohtaa, mitä esimerkiksi kirjoissa. Tilpehöörin sijaan tila täytetään liikkeellä ja ryminällä.
Sven Hedmaninalkuperäissävellykset ovat jännän mollivoittoisia iloisten lastenrallien sijaan. Musikaalin ja musiikkinäytelmän ero on muistaakseni siinä, kuljetettavatko kappaleet tarinaa eteenpäin. Sikäli kun sitä juonta ei isommin ole, jää tämä kysymys avoimeksi.
Työryhmä paahtaaensi-iltaesityksen läpi hyvällä energialla sääoloista vähät välittämättä.
Multimodaalinen kokonaistaide-elämys jatkuu väliajan toimintapisteissä ja kotieläinpihan läteissä ja karsinoissa.
Kestosta löytyy ehdottomasti nipistettävää, tai sitten kesäpäivän uneliaaseen joutilaisuuteen pääsisi paremmin auringon edes hieman helottaessa. Lyhyt tuomio: hyvät kanat, missä muklat.
",news
"Produktio: Utran Uusi Teatteri, Päivän sankari. Ensi-ilta Utran Uittotuvalla 28.6.2025.
Työryhmä: Käsikirjoitus Antti Heikkinen, ohjaus Olli-Matti Oinonen, laulut Ilja Teppo.
Utran Uusi Teatteri on tykännyt liehuttaa perinteisen maaseutukomedian lippua. Ihmisyyden ja suomalaisuuden äärellä, kuten vaalilauseensa kuuluu.
Päivän sankarissakomedian perusoppikirjaa on lehteilty ainakinShakespearenjaMolièrenkohdilta. Kyseessä on väärinymmärryksiä ja kukaan ei ole sitä, miltä aluksi näyttää -tilanteita – paikallisväreissä tietenkin (torille, Polvijärvi mainittu).
Pyöreisiin vuosiin pääseminen on hyvä paikka pohtia kaikenlaisia arvovalintoja.
Rikkaamman puoleinen isoherra Tahvanainen (Jarkko Tiainen) viettää syntymäpäiviään. Ympärillä hännystelevät lakeija Rauhanen (Antti Tuomas Heikkinen) ja catering-yrittäjä Maire (Elina Rintala).Jussi LampijaMaarit Poussapölähtävät paikalle arvovieraita esittämään palkattuina näyttelijöinä, joilla on muitakin jauhoja pusseissaan.
Magnaatin miljoonaperintö pitäisi saada siirrettyä sen paremmin ansaitseviin taskuihin, ja ottajia olisi monia. Kuka saakaan juonittua allekirjoituksen nimensä sisältävään luovutuspaperiin?
Siinä missä juoniasetelman esikuvia löytyy komediakirjallisuuden klassikoista, nauruja revitään meille suomalaisille tutummasta navanalussanastosta. Kyllä, kiitos, hyvin muna voi. Oliko teekupit? Ei, F. Uittotuvan yleisön mieltymykset ovat käsikirjoittajalle ilmeisen tutut; niin mittatilaustyönä naurunremakoita saatiin luvatun onnistuneesti kalasteltua.
Live-bändi on teatterissakuin teatterissa mainitsemisen arvoinen asia, ammattitaitoinen house band jopa hehkutettava.Pertti Feller,Sampsa Asikainen,Tommi IlonenjaTero Hyttinenvastaavat tahdista ja tunnelmasta.
Ilja Teppoon säveltänyt ja sanoittanut näytelmään kappaleita laajalla genre-hajonnalla rockista lattareihin. Maarit Poussan balladi toiselta puoliskolta jäi erityisesti mieleen.
Puvustajat ovat tehneet todella hienoa työtä, vaikka hieman jääkin epäselväksi, millä aikakaudella tässä pyöritään. Eivät ole Dressman-kuninkaallisia nämä!
Tarina lieneehieman elänyt harjoituskauden aikana. Näytelmän nettisivuilta löytyvästä esittelytekstissä mainitusta ”vanhasta kansakoulusta” on ainakin siirrytty prameampaan kartanoon. Loppuratkaisu kielii myös hätäisyydestä. Jääköön se paljastamatta. Sanotaan vain, että TV-sarjaLostintaiTwilight-elokuvien ystävät saattavat kärsiä traumaperäisestä stressireaktiosta.
Pyöreisiin vuosiin pääseminen on hyvä paikka pohtia kaikenlaisia arvovalintoja. Siitä lämminhenkisessä Päivän sankarissa lopulta on kyse. Rikkaatkin voivat paeta onnettomuuttaan läheisiin ihmisiin tukeutuen. Näytelmä pyörii Uittotuvalla elokuulle, ja näyttelijä Lampi on julistanut tämän myötä laittavansa kesäteatteriuransa pakettiin. Semmoista historiaa.
",news
"Produktio: Pohjois-Karjalan Musiikkiteatteri the LittleBigMusic: Tätini ja minä.
Työryhmä: Alkuperäiskäsikirjoitus Morris Panych (käännös Timo Kärkkäinen). Ohjaus ja lavastus Jari Salokangas. Rooleissa Samuli Moilanen, Jari Salokangas. Musiikki Samuli Moilanen.
Ohvanan kulttuuritalolla on enimmäkseen nähty viime vuosina musiikintäytteisiä farsseja. Tämän kesän kappalevalinta shokeeraa piristävästi, tai piristää shokeeraavasti. Voin osin kuvitella miltä elokuvayleisöistä tuntui vuonna 1947 nähdä komedian kuningasCharlie Chaplinkulkurihahmonsa sijaan rikkaita rouvia murhaavana Ritari Sinipartana. Ohvanan kulttuuritalon lava tuudittaa tuttuun turvallisuudentunteeseen mummola-kitschillään. Ehkä vaakasuorien pintojen puutteen olisi pitänyt herättää aavistuksia?
Kemp (Jari Salokangas) saapuu saattohoitamaan kuolevaa tätiään, jonka on viimeksi tavannut ohimennen kolmekymmentä vuotta sitten. Vähäsanainen mutta kaikkea muuta kuin ilmeetön Grace (Samuli Moilanen) makaa sängyssään peiton alla, ja alistuu veljenpoikaoletettunsa huolenpitoon, toffeevanukkaisiin, ja puheripuliin.
Käsikirjoituksen ottaminen työn alle vaatii työryhmältä riskinottokykyä.
Lähes mykän keskustelukumppaninsa odottava katse saa Kempin kaivelemaan omasta ja perheensä menneisyydestä kaikenlaiset kipupisteet. Nihilismiä lähentelevän kyynisen maailmankuvan omaava aseksuaali transvestiitti ihmisvihaaja pitää lämpimimpänä muistonaan sitä, kun äitinsä huolestui enemmän kissan kuin lapsensa katoamisesta.
Aika etenee puolitoistavuodenkiertoa reiluin harppauksin. Taukokuvat verkkaalleen kehittyvästä ihmissuhteesta ovat parhaimmillaankin minimalistisia toiminnaltaan. Jouluun mennessä mummo saa jo ensimmäisen sanan suustaan.
Uransa pankkimaailmassa omaishoidon alttarilla uhrannut Kemp alkaa pikku hiljaa epäillä, ettei täti meinaakaan potkaista tyhjää. Hän on kuitenkin hoitanut testamentit ja tuhkaukset valmiiksi. Epätoivonsa puuskissa mieleen hiipii ajatus vääjäämättömän jouduttamisesta kodin putkimiehellä ja nirhatuilla sähköjohdoilla.
Komedian allaasuu vakavuus. Suora puhe kuolemasta on samalla häkellyttävän hykerryttävää, samalla terapeuttisen vapauttavaa, vaikka tietynlainen väärinkäsitys taustalla vellookin.
Auttaako sitten nyrjähtänyt katsantokanta näkemään kuolemisen luonnollisena toimenpiteenä? Tarvittaisiinko hoitoalalle lisää käytännönläheisiä sosiopaatteja? Hirtehisen juonikuvionsa näytelmä kääntää onneksi inhimillisempään suuntaan. Velvollisuuden täyttäminen voikin antaa elämälle täytettä.
Vähintäänkin haastavaksi luonnehdittavan käsikirjoituksen ottaminen työn alle vaatii työryhmältä riskinottokykyä.
Esityksen toteuttaminen ilman kiemuraisella polulla oikomista vielä enemmän. Katsojan on ehdottomasti varauduttava pitämään niin näkö- kuin kuulinaukkonsa avoinna, ja antaa välillä nauttien mennä epätietoisuuden virrassa.
Tätini ja minä painii loppujen lopuksi sellaisten kysymysten parissa, että ”perimmäisiksi” niitä luonnehtisi vain optimisti, joka uskoo sinne asti pääsevänsä.
",news
"Julkisissa hankinnoissa olisi mahdollista säästää satoja miljoonia euroja, jos niihin saataisiin enemmän kilpailua.
Kilpailu- ja kuluttajaviraston (KKV) tuoreen selvityksen mukaan kilpailua lisäisi se, jos hankintayksiköt hyödyntäisivät nykyistä enemmän markkinavuoropuhelua ja varmistaisivat, että hankintojen tekemiseen on riittävästi asiantuntijoita ja osaamista.
KKV selvitti, millaisia säästöjä kilpailun lisääminen julkisissa hankinnoissa voisi tuoda. Tehdyssä mallinnuksessa käytettiin kolmea menetelmää, joiden perusteella yhden lisätarjouksen saaminen yhden tarjoajan hankintoihin säästäisi veronmaksajien varoja keskimäärin 10 prosenttia hankinnan arvosta.
Hankintayksiköt ovatkeskeisessä roolissa, kun kilpailua halutaan lisätä. KKV:n selvitys vahvistaa, että monissa hankinnoissa potentiaalisia tarjoajia olisi ollut enemmän kuin kilpailutukseen osallistuneita yrityksiä.
Markkinavuoropuhelu yritysten kanssa on sallittua ja usein myös suositeltavaa.
– Se, että kilpailutukseen saadaan vain yksi tai muutama tarjous, ei välttämättä johdu siitä, että markkinoilla ei olisi enempää tarjontaa. Säästöjen saavuttamiseksi on tärkeää, että hankintayksiköt ovat valinneet kilpailutuksen kriteerit huolella ja varmistaneet, että tieto kilpailutuksesta tavoittaa kaikki potentiaaliset tarjoajat, sanoo tutkimusohjaajaJan JääskeläinenKKV:n tiedotteessa.
Keskustelemallapotentiaalisten tarjoajien kanssa ennen kilpailutuksen järjestämistä hankintayksikkö voi lisätä yritysten tietoisuutta hankinnasta.
Keskusteluilla hankintayksikkö voi myös varmistaa, ettei kilpailutukseen lisätä tarpeettomia kriteerejä, jotka vähentävät tarjoajien määrää.
Monet hankintoja tekevät ovat kokeneet markkinavuoropuhelun toteuttamisen hankalaksi. Sitä ei välttämättä järjestetä, koska hankintayksiköissä arvioidaan, että keskusteleminen yritysten kanssa ennen kilpailutuksen järjestämistä voi olla syrjivää.
Markkinavuoropuhelu yritysten kanssa on sallittua ja usein myös suositeltavaa.
Tehokkuutta hankintoihin saataisiin myös resursoimalla hankintatoimea riittävästi. KKV ja aluehallintovirastot selvittivät, miten julkiset hankinnat on järjestetty kunnissa.
Kyselyn perusteella Suomessa on monia keskisuuria kuntia, jotka tekevät julkisia hankintoja kymmenillä miljoonilla euroilla vuodessa, mutta kunnassa ei työskentele ainuttakaan hankintoihin erikoistunutta asiantuntijaa.
Avuksi esimerkiksi Pohjois-Karjalassa on otettu hankintayhteistyötä Pohjois-Karjalan hankintatoimen avulla.
",news
"Kiihtelysvaarassa kokoonnutaan yhteen perinteisen Kesäpäivän merkeissä lauantaina 12. heinäkuuta.
Tänä vuonna yhtenä pääkohteena on uusi kirkko, mutta toimintaa on myös pääpaikkana toimivalla Kiihtelyspirtillä eli entisellä kunnanvirastolla.
Kesäpäivän yksi erikoisuus on mahdollisuus nauttia Marttojen myymää keittolounasta Kiihtelysvaaran uudessa kirkossa.
Kesäpäivän tapahtumat ja samalla myös kirkko avautuvat 12. heinäkuuta aamupäivällä kymmeneltä. Kello 12-14 kirkossa voi kuulla urkumusiikkia kanttoriSamuli Moilasensoittamana. Musiikkiesityksiä on neljä aina puolen tunnin välein.
Kotiseutumuseo on avoinna maksutta kello kymmenestä eteenpäin.
Kirkon kellotapuliin voi tutustua opastetusti kello 10.30–13.00.
Kotiseutumuseo on avoinna maksutta kello kymmenestä eteenpäin.
Päätapahtuma-alueenatoimii Kiihtelyspirtin ympäristö. Alueella on musiikkiesityksiä, tuotemyyntiä, Pelastuslaitoksen palokuntanuorten toiminnan esittelyä, järjestöjen toiminnan esittelyä ja lasten leikkipuistossa on pomppulinna sekä kesäisiä kilpailuja.
Myös kirjastoauto Mysteeri tuo palvelut Kiihtelyspirtille.
Muutaman sadan metrin päässä entisen seurakuntatalon alueella voi seurata Rajavartioston koirapartion toimintaa ja viereisellä Lummelammella on tarjolla poniajelua lapsille sekä mahdollisuus omatoimiseen makkaranpaistoon.
Kiihtelysvaaran Harrastetoimijoiden Navetalla on kirpputori kello kymmenen ja iltapäiväkolmen välisenä aikana. Lisäksi päivään on mahdutettu puukontaontaesitys iltapäivälle ja ihmeteltävää kansalaisopiston puutyönäyttelyn sekä vanhoja autojen, ja leikkimielisten ulkopelien kautta.
Myös paikalliset yritykset osallistuvat omilla tapahtumillaan päivään.
Kesäpäivän pääjärjestäjä on Kiihtelysvaaran kyläyhdistys.
Kiihtelysvaaran Kesäpäivä. Lauantaina 12.7.2025 klo 10 alkaen.
",news
"Luonnonvarakeskus (Luke) on kertonut tämän kesän osalta ensimmäisiä arvioita luonnonmarjasadosta.
Toukokuun alku oli tänäkin vuotena viileä, ja alkukesän kukkijat – mustikka ja suomuurain – kukkivat monin paikoin hieman tavanomaista myöhemmin.
Luonnonvarakeskus tiedottaa, että mustikan kukkia oli heikohkosti pitkäaikaiseen keskiarvoon verrattuna, mutta kukinnan aikaiset pölytysolosuhteet olivat kuitenkin Etelä- ja Keski-Suomessa hyvät. Raakileiden määrä on havaintometsien perusteella tavanomainen.
– Tällä hetkellä vaikuttaisi siltä, että mustikan sato tulee olemaan keskinkertainen, mutta ehtiihän tässä kypsymisenkin aikana paljon tapahtumaan. Mustikkasadolle olisi hyvä, että ankarilta helteiltä ja kuivuudelta vältyttäisiin, toteaa erikoistutkijaRainer PeltolaLukesta tiedotteessa.
Puolukan kukkia onollut runsaasti, ja pölytystulos on ollut tavanomainen lähes koko maassa. Savon alueella pölytystulos on tavanomaista parempi.
Puolukkasadosta muodostunee jonkin verran keskimääräistä parempi.
– Puolukka on yleensä se luottomarja, koska se kukkii myöhemmin kesällä, jolloin pölyttäjiä on runsaammin ja hallat ovat harvinaisempia. Niin näyttää olevan tänäkin vuotena, Rainer Peltola kertoo.
Suomuuraimen kukkiaon ollut Luken havaintojen perusteella runsaasti, mutta pölytystuloksen arvioidaan jäävän alle tavanomaisen lähes koko maassa. Tämän hetken tiedot eivät ainakaan povaa huippuvuotta poimijoille lakan osalta.
Poimijat joutunevat kävelemään nyt enemmän kuin mihin useana aikaisempana vuotena on totuttu. Kukinnan aikaisilta halloilta on onneksi vältytty lähes koko maassa.
",news
